question,metadata
What is the maximum weight I can carry in the second trimester?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-11 16:23:03.429919+00:00', 'id': 'qa_pairs/4bI6o8wDYkLLhSQu1m67'}"
Is it okay for my to color my hair after giving birth?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-18 09:39:12.822353+00:00', 'id': 'qa_pairs/li44oQBFyvzzymjaWanj'}"
How do I know if my child has RSV?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 09:04:33.313753+00:00', 'id': 'qa_pairs/DSpGiiwo2K2dTYsHhWyh'}"
What happens if labor slows down?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-03-18 21:46:17.573685+00:00', 'id': 'qa_pairs/mKFUrsAuHlxgvmQHABCE'}"
Should we wake the baby if he doesn't eat in the night?,"{'author_id': 'V88m8gxhi4aKTeNfKnw8fd1w0n53', 'timestamp': '2023-07-07 17:56:14.848179+00:00', 'id': 'qa_pairs/63H0QBAYRjUeRpLbRH4B'}"
How long should I breastfeed my baby after birth?,"{'author_id': 'b2FoShs2zQTy0QO11o0XmKAy1Nv1', 'timestamp': '2023-11-11 23:04:57.223135+00:00', 'id': 'qa_pairs/Lv5U7kQFlOBVmK0Tny1K'}"
At what time does first tooth appear?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-22 11:44:10.549747+00:00', 'id': 'qa_pairs/zR5MujqihMjxJHHsk9V9'}"
How can I prevent my child from overeating?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-31 22:41:50.839233+00:00', 'id': 'qa_pairs/Pdbzw5iTkFXgfsqDp1HQ'}"
How many dirty diapers should a baby have at 4 months?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-08 12:33:13.484544+00:00', 'id': 'qa_pairs/a6ixKMrcOIJpnxue3uAN'}"
How can I get my baby to take a bottle?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-09-21 13:33:24.069213+00:00', 'id': 'qa_pairs/kPtj7yA0CNHl1o9Lelmw'}"
What is a good lotion for baby skin?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-21 12:32:48.517052+00:00', 'id': 'qa_pairs/Kju9TJKHbe5cDJzZPrYk'}"
Does a baby get nightmares?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-25 09:40:06.892971+00:00', 'id': 'qa_pairs/9c4uWkV6aSIDRo4GyPmV'}"
Can babies sleep with a pillow?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-18 00:02:06.683559+00:00', 'id': 'qa_pairs/LABudQLSSMdbSkGD2bAZ'}"
How many times a day should my toddler have a glass of milk?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:55:50.308309+00:00', 'id': 'qa_pairs/JyEdEZn7pb8ZJHp5DGPT'}"
What feelings can babies feel?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:50:34.288179+00:00', 'id': 'qa_pairs/Bjji8BcltsfPq8dCEmUt'}"
What to do if my infant has an upset tummy?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-25 09:40:45.919461+00:00', 'id': 'qa_pairs/bluSn6NIGC7WcjBKPZnP'}"
Is boiled tap water okay to use with formula?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-03 21:45:40.569003+00:00', 'id': 'qa_pairs/F99sko71b8ARkFESAxRB'}"
Do you have recommendations for free online baby classes?,"{'author_id': 'x97pqM9UltaNCFAPrF5yg1W5weA2', 'timestamp': '2023-10-27 15:10:26.380095+00:00', 'id': 'qa_pairs/dhqdmUvFB3xocSYgxjT6'}"
How big is the uterus during week 19 of pregnancy?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-06 20:51:04.576761+00:00', 'id': 'qa_pairs/rSBKyc2zmVs6nM8t79iL'}"
How long does it take for birth control to get out of your system?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:47:38.357613+00:00', 'id': 'qa_pairs/cDdC1actah53fGFvQbV1'}"
What should I expect in 30 weeks of pregnancy?,"{'author_id': 'V88m8gxhi4aKTeNfKnw8fd1w0n53', 'timestamp': '2023-02-16 10:05:05.317947+00:00', 'id': 'qa_pairs/aezA8pck3FkQFevRYfNM'}"
How long do babies nurse per session?,"{'author_id': '84ka1SZgxahTsy8lyty9TUPkJ5k1', 'timestamp': '2023-03-07 08:21:57.769410+00:00', 'id': 'qa_pairs/4EHX5hXoTo8McA9SiT4V'}"
Is sugar bad for toddlers?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-14 08:59:58.866511+00:00', 'id': 'qa_pairs/Yy1tLoFryvKfC3m5TzFx'}"
Can my baby hear songs In the womb ?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-14 08:55:37.943555+00:00', 'id': 'qa_pairs/uI9pn1ynI70TKY87fFmh'}"
How many months after a missed period should I take a pregnancy test?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-14 22:46:38.119517+00:00', 'id': 'qa_pairs/AKYuA0SWX3LbDl4vivzp'}"
How old is a baby when he can sit up?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-05-07 16:18:40.004935+00:00', 'id': 'qa_pairs/ULdhZmAf9IIR8yQb7PFl'}"
How do you care for a tongue tie?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-04-06 09:02:17.794300+00:00', 'id': 'qa_pairs/fDj3SMpjLkBpW3YaUiFA'}"
How many bottle feeds should my 4 month old get?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-19 20:24:06.569652+00:00', 'id': 'qa_pairs/Dvm6Vmd7JkZqN6yk6z5U'}"
When is a good time to bring my baby to a public pool?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-20 12:51:31.888544+00:00', 'id': 'qa_pairs/uCBp791g21IDveyP73Ps'}"
Is it normal to experience Braxton hicks at 30 weeks?,"{'author_id': 'pD2tc54dVWNk0aPu6InRQPIv8jA2', 'timestamp': '2023-11-13 21:09:54.385651+00:00', 'id': 'qa_pairs/Q8uxxaXJLJuykjYZJOFN'}"
What foods should I avoid when Brest feeding?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-17 00:34:35.736484+00:00', 'id': 'qa_pairs/uVkagEjeD0L2hp6VTMbu'}"
Is Coffee during pregnancy safe?,"{'author_id': 'zyvJwOwwJyg7sM19hoj9I9HQ74e2', 'timestamp': '2023-01-27 15:15:43.544573+00:00', 'id': 'qa_pairs/FCHxIjS5rwaPoRXRW7tA'}"
How do I know if my baby is moving enough?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-03-08 12:45:06.155115+00:00', 'id': 'qa_pairs/qe3ShCwTYCZYyBLCPXdZ'}"
How big should my baby's head be at 6 months?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:27:24.971616+00:00', 'id': 'qa_pairs/aO6OTDDCgWWrXj6u2EPy'}"
How many ounces of formula does a 6 month old need?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-03 21:46:19.855274+00:00', 'id': 'qa_pairs/wKpC1TAbsqPRdfUY1GQp'}"
How many time should I shower my infant?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-17 00:28:17.978476+00:00', 'id': 'qa_pairs/V9q2jKo93uYr9qIYymkL'}"
Are swings good for babies?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-22 14:46:11.742379+00:00', 'id': 'qa_pairs/Bz4NHS1IrYO06VgWC91n'}"
How many vaccines should my baby receive?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-08 12:34:17.850310+00:00', 'id': 'qa_pairs/cQ6JlLQvcPpXTBSOAD1w'}"
When will my baby start teething?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-18 09:20:10.390268+00:00', 'id': 'qa_pairs/IvUmCordcVssDeVRlhx9'}"
What should my 3 week old baby be able to do?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-04-11 08:45:55.742551+00:00', 'id': 'qa_pairs/ktNS1cZsC1OFniORpIAw'}"
"Regression sleep 4 month, how many weeks last?","{'author_id': 'V88m8gxhi4aKTeNfKnw8fd1w0n53', 'timestamp': '2023-02-09 10:09:27.738772+00:00', 'id': 'qa_pairs/gyKqdau1u0NX9dIWoRc2'}"
What cramps are considered normal during pregnancy?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-07 10:19:07.098387+00:00', 'id': 'qa_pairs/hHpUPIB6eFC2Y5VxnQXe'}"
