question,metadata
Is breast pain normal when breastfeeding?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-04-15 04:18:43.791893+00:00', 'id': 'qa_pairs/CLeWzbFzItgwj6huOamP'}"
What do I need to prepare for baby?,"{'author_id': 'foSUQ6CvoqdB3HdToWBymV1YOhh2', 'timestamp': '2023-04-03 10:55:31.796737+00:00', 'id': 'qa_pairs/2PM55fscZK6pjaPK70au'}"
How does aspirin reduce preeclampsia risk?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-09 07:59:20.391173+00:00', 'id': 'qa_pairs/Ukd8by9pc2igc2NbFSNT'}"
How often should I shower my baby?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-14 22:43:50.450423+00:00', 'id': 'qa_pairs/S8nGG1vOc2hUxY3eEYaZ'}"
Is almond milk better than cows milk?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-09-21 13:37:48.217711+00:00', 'id': 'qa_pairs/PMuLF8L1You9PWFl9Cbq'}"
How can I clear my babies stuffy nose?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-31 09:37:54.177453+00:00', 'id': 'qa_pairs/FkS5yVJBiApmVlLB8aJK'}"
How can I help my baby to learn two languages at the same time?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-26 19:12:01.262083+00:00', 'id': 'qa_pairs/BgluSPUtdB9gXtXIdF1n'}"
Is it normal that I started producing milk before baby is born?,"{'author_id': 'V88m8gxhi4aKTeNfKnw8fd1w0n53', 'timestamp': '2023-04-05 09:58:48.337344+00:00', 'id': 'qa_pairs/AYktGpBwdYeE7AAOdLJ6'}"
How long should a baby nurse per session?,"{'author_id': '84ka1SZgxahTsy8lyty9TUPkJ5k1', 'timestamp': '2023-02-16 15:14:17.606930+00:00', 'id': 'qa_pairs/lFWQVNJRJJM5eAR54ufI'}"
How can I deal with post partum depression?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-31 13:53:52.478363+00:00', 'id': 'qa_pairs/3nx8eQkMahO7faGe3EPG'}"
How much sleep does a 3 month old need?,"{'author_id': '84ka1SZgxahTsy8lyty9TUPkJ5k1', 'timestamp': '2023-03-16 22:16:21.040780+00:00', 'id': 'qa_pairs/3DSsMG1KztTFsuVQci1Q'}"
When can I go back to the gym after birth?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-18 09:25:18.607506+00:00', 'id': 'qa_pairs/B0GtnoLESCtcxoLXQu3g'}"
Should you lay babies on their stomach?,"{'author_id': 'x97pqM9UltaNCFAPrF5yg1W5weA2', 'timestamp': '2023-10-30 21:09:02.812544+00:00', 'id': 'qa_pairs/P6qPhCHs8i3OLssh8vjP'}"
What do Braxton Hicks contractions feel like?,"{'author_id': 'X2Mbenq10lRmHYsLQb53ZTsFE6f1', 'timestamp': '2023-02-06 13:55:59.539662+00:00', 'id': 'qa_pairs/QVTb6CKAVGUCKizCA5RV'}"
What are good ways to deal with stress of a newborn baby?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:47:05.427985+00:00', 'id': 'qa_pairs/vwrPHT7qgYcWFaJEAZ6o'}"
What is a normal amount of fatigue for the third trimester?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-02-19 18:19:18.223647+00:00', 'id': 'qa_pairs/2XDpZP2snlbiFoOz9ELu'}"
How long does the baby have sensitive skin?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-21 14:08:57.326709+00:00', 'id': 'qa_pairs/Me7h5qrTUGSDcoyhC2LO'}"
can I sleep during NST?,"{'author_id': 'zyvJwOwwJyg7sM19hoj9I9HQ74e2', 'timestamp': '2023-02-02 10:17:27.665166+00:00', 'id': 'qa_pairs/kkQSW5DmffEQqrUECpwi'}"
Is it okay to lay on back for short periods of time?,"{'author_id': 'zyvJwOwwJyg7sM19hoj9I9HQ74e2', 'timestamp': '2023-01-28 10:47:22.592068+00:00', 'id': 'qa_pairs/PGVFadhAqMP9P6P5aSiF'}"
Does breast feeding help lose weight?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-21 12:33:31.547833+00:00', 'id': 'qa_pairs/ows7V3fMHfBEewXM6hag'}"
What is the most recommended way to cut my baby's nails?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-24 12:31:50.982058+00:00', 'id': 'qa_pairs/V4i5FItmxA9e3lElfeI8'}"
How much calcium is needed in the second trimester?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-13 21:09:02.435359+00:00', 'id': 'qa_pairs/0CsOhOqRnXD5ZASM4ADx'}"
Is my baby having nightmares?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-20 13:56:24.789253+00:00', 'id': 'qa_pairs/Ik1WclPBjvsWFyLV3Hv9'}"
What is a good home remedy for stuffy nose ?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-21 12:32:28.061567+00:00', 'id': 'qa_pairs/z5dfeBMfLxAjeOlvDALs'}"
Is breast feeding or formula better?,"{'author_id': 'x97pqM9UltaNCFAPrF5yg1W5weA2', 'timestamp': '2023-11-16 17:31:57.111244+00:00', 'id': 'qa_pairs/c6SrasK9KKMfw22zwllU'}"
How long should I pump breast milk for?,"{'author_id': 'M9NYZtjxOqcSoB4YilfYVpISR8u1', 'timestamp': '2023-11-16 11:05:53.930809+00:00', 'id': 'qa_pairs/xqL6PMZ2e9OwRbcnLwH6'}"
What vaccines are given at 6 months?,"{'author_id': 'lF7bc6PaQGO7EBz9mIjyMtZdR4A2', 'timestamp': '2023-02-14 07:21:25.984963+00:00', 'id': 'qa_pairs/IPsyld9VvBIw9CKZg0tG'}"
How can my partner help with labor pain?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-03-07 12:23:48.553828+00:00', 'id': 'qa_pairs/OnQFncY2brAOTuLtXwhF'}"
Can you get post traumatic stress from labor?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-03-22 18:23:22.553419+00:00', 'id': 'qa_pairs/boTvV3LsHXfhQ2JjpycR'}"
At what age do babies learn to control their arms?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-04-24 19:30:08.923701+00:00', 'id': 'qa_pairs/zN2JQ8TTUPVWswy4ONqx'}"
How long before my baby can sit up on her own?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-07 22:15:51.013303+00:00', 'id': 'qa_pairs/Ao44TmyV7oqqnEE57nlX'}"
