question,metadata
How much iron do I need in pregnancy?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-06-15 10:49:29.235275+00:00', 'id': 'qa_pairs/ji84MU6BfiqlamwdwHG7'}"
When is it safe to give my baby real food?,"{'author_id': 'PpUlhH3JiSgVx2YpEjA05SbJNdd2', 'timestamp': '2023-11-03 18:57:16.800252+00:00', 'id': 'qa_pairs/eWNQKPIfQtHP1De90YXf'}"
Why is my pelvis sore?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-02-22 08:19:32.594077+00:00', 'id': 'qa_pairs/7EfFfdodOJ7WiRjw55Z0'}"
When can my child stop using a booster seat?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-26 16:25:20.693011+00:00', 'id': 'qa_pairs/t6vpgkJXa0zD1Ym9V7Lp'}"
What is the maximum weight I can carry while pregnant?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-11 16:22:05.502957+00:00', 'id': 'qa_pairs/UNZehpyVn2xe4SzvKYjN'}"
When can my baby face front in a car?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-01 09:40:37.091008+00:00', 'id': 'qa_pairs/g5mMdqff6zlNDwa6SzqX'}"
How long before my breast milk supply comes in?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-17 00:33:52.671714+00:00', 'id': 'qa_pairs/tViZLX59T4HnKfxDWUzx'}"
What is a good way for my child to express feelings?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-14 12:06:29.987271+00:00', 'id': 'qa_pairs/plG4OjqeMENybBKifBnF'}"
What is the schedule for my baby to see a doctor?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-23 09:06:40.727137+00:00', 'id': 'qa_pairs/aTwiTmHmKbhgaLbz8UrG'}"
What do Braxton hicks contractions feel like?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-02-10 12:40:38.202002+00:00', 'id': 'qa_pairs/JUP9QaddrZVmwQ5f7E07'}"
Does the placenta grow bigger as time goes on?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-09 08:20:09.038997+00:00', 'id': 'qa_pairs/6nmsQiBjj3hYRJL3ykx6'}"
How many shots does an infant get ?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-21 12:31:56.190875+00:00', 'id': 'qa_pairs/HUiViTrpw4TT8GuRq18I'}"
How can I prevent my baby peeing through diaper?,"{'author_id': 'PpUlhH3JiSgVx2YpEjA05SbJNdd2', 'timestamp': '2023-11-03 12:59:29.811021+00:00', 'id': 'qa_pairs/OtfzTnQiZcB8q5JaWKJl'}"
How do you know when your baby is full?,"{'author_id': 'x97pqM9UltaNCFAPrF5yg1W5weA2', 'timestamp': '2023-11-13 19:33:59.680951+00:00', 'id': 'qa_pairs/ynVzLONlk5gKeYz1cjhV'}"
What are the stages in an infants life?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-17 00:32:28.895226+00:00', 'id': 'qa_pairs/uJ39WvusL5u6FI6or4C8'}"
How do you know if the baby is sunny side up?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-04-07 11:13:06.235681+00:00', 'id': 'qa_pairs/05FUGv3cDUtk4r12I2LA'}"
What kind of instrument is good for my baby?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-26 19:04:07.385423+00:00', 'id': 'qa_pairs/iJ2vefT0C2OEbnbhjw9j'}"
How do I know when I lose mucus plug ?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-30 17:29:15.055911+00:00', 'id': 'qa_pairs/eV5klJJenA9w2EZ2n6em'}"
When can I start giving my baby food?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-13 10:37:13.937458+00:00', 'id': 'qa_pairs/lyPP9bOtkrcvOZ2N1Sjh'}"
How often do babies feet grow?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-10 01:19:48.403484+00:00', 'id': 'qa_pairs/SbGCornSGKJNQ4HzJuJZ'}"
How do you know if you're having contractions?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-03-06 19:31:01.034972+00:00', 'id': 'qa_pairs/Ai05zH31RCCsLGSPY0tQ'}"
Can I give my 6 month old food?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-31 22:40:06.901080+00:00', 'id': 'qa_pairs/SpOJJKauSQaIukJlcNxM'}"
Is it okay for babies to be in swimming clases?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-08 12:27:48.819692+00:00', 'id': 'qa_pairs/6dz3MG4Jarf4FULmmJ2S'}"
