question,assumption,plausibility,veracity,evidence_source,evidence,evidence_source_link
How much iron do I need in pregnancy?,Iron is required during pregnancy.,5 (Very Plausible),TRUE,Daily iron and folic acid supplementation during pregnancy ,"""Pregnant women require additional iron and folic acid to meet their own nutritional needs as well as those of the developing fetus.""",https://www.who.int/tools/elena/interventions/daily-iron-pregnancy
,There is a recommended daily intake of iron during pregnancy.,5 (Very Plausible),TRUE,Daily iron and folic acid supplementation during pregnancy ,"""Daily oral iron and folic acid supplementation with 30 mg to 60 mg of elemental iron... The equivalent of 60 mg of elemental iron is 300 mg ferrous sulfate heptahydrate, 180 mg ferrous fumarate or 500 mg of ferrous gluconate""",https://www.who.int/tools/elena/interventions/daily-iron-pregnancy
,The recommended iron intake changes throughout the different trimesters of pregnancy.,3,FALSE,Anemia and Pregnancy | Patient Education | UCSF Health ,"""The recommended dietary allowance (RDA) of iron during pregnancy is 30 milligrams.""",https://www.ucsfhealth.org/education/anemia-and-pregnancy
,Iron requirements may vary based on health factors.,3,TRUE,Final Recommendation Statement: Iron Deficiency Anemia in Pregnant Women: Screening and Supplementation | United States Preventive Services Taskforce,"""Higher doses (60 to 100 mg of elemental iron per day) are sometimes prescribed in populations at increased risk for iron deficiency anemia.""",https://www.uspreventiveservicestaskforce.org/uspstf/document/RecommendationStatementFinal/iron-deficiency-anemia-in-pregnant-women-screening-and-supplementation#bootstrap-panel--3
,There are health concerns associated with not receiving enough iron during pregnancy.,4,TRUE,Iron deficiency anemia during pregnancy: Prevention tips - Mayo Clinic ,"""Severe iron deficiency anemia during pregnancy increases the risk of premature birth (when delivery occurs before 37 complete weeks of pregnancy). Iron deficiency anemia during pregnancy is also associated with having a low birth weight baby and postpartum depression. Some studies also show an increased risk of infant death immediately before or after birth.""",https://www.mayoclinic.org/healthy-lifestyle/pregnancy-week-by-week/in-depth/anemia-during-pregnancy/art-20114455
,Iron supplementation may be necessary during pregnancy.,4,TRUE,Anemia and Pregnancy | Patient Education | UCSF Health ,"""Because it is difficult to get enough iron from your diet, you may need to take an iron supplement. There usually is enough iron in your prenatal vitamin to prevent anemia, but your provider may prescribe an extra iron pill if you are anemic.""",https://www.ucsfhealth.org/education/anemia-and-pregnancy
,There may be risks associated with taking iron supplements during pregnancy.,2,TRUE,"Iron Supplements for Anemia (Ferrous Sulfate): Types, Benefits & Side Effects ","""Only take an iron supplement for as long as your provider instructed. Taking more iron than your body needs can cause serious health issues.""",https://my.clevelandclinic.org/health/drugs/14568-iron-oral-supplements-for-anemia
,There may be a risk of developing preeclampsia if not enough iron is consumed.,2,Unsure,The impact of response to iron therapy on maternal and neonatal outcomes among pregnant women with anemia - ScienceDirect ,"""Anemia during pregnancy is associated with increased risks of preterm birth, preeclampsia, cesarean delivery, and maternal morbidity. The most prevalent modifiable cause of pregnancy-associated anemia is iron deficiency. However, it is still unclear whether iron therapy can reduce the risks of adverse outcomes in women with anemia.""",https://doi.org/10.1016/j.ajogmf.2022.100569
When is it safe to give my baby real food?,I should wait until my baby shows signs of readiness before introducing solid foods.,4,TRUE,"When, What, and How to Introduce Solid Foods | Nutrition | CDC","""You can look for these signs that your child is developmentally ready...
Sits up alone or with support.
Is able to control head and neck.
Opens the mouth when food is offered.
Swallows food rather than pushes it back out onto the chin.
Brings objects to the mouth.
Tries to grasp small objects, such as toys or food.
Transfers food from the front to the back of the tongue to swallow.""",https://www.cdc.gov/nutrition/infantandtoddlernutrition/foods-and-drinks/when-to-introduce-solid-foods.html#:
,There is a specific age at which it is safe to start introducing solid foods.,5 (Very Plausible),TRUE,"When, What, and How to Introduce Solid Foods | Nutrition | CDC ","""The Dietary Guidelines for Americans and the American Academy of Pediatrics recommend children be introduced to foods other than breast milk or infant formula when they are about 6 months old.  Introducing foods before 4 months old is not recommended.""",https://www.cdc.gov/nutrition/infantandtoddlernutrition/foods-and-drinks/when-to-introduce-solid-foods.html#:
