question,assumption,plausibility,veracity,evidence_source,evidence,evidence_source_link
What is the maximum weight I can carry in the second trimester?,Carrying a heavy weight may have an impact on my child or myself.,4,TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4606868/,"The evidence regarding a possible association between fetal-maternal health outcomes and occupational physical activity is mixed and limited.However, In a cohort study of more than 62,000 Danish women reported a dose-response relationship between total daily burden lifted and preterm birth with loads more than 1,000 kg per day 70. In this study, lifting heavy loads (greater than 20 kg) more than 10 times per day was associated with an increased risk of preterm birth. Also, the AMA guidelines define permissible weight limits “that healthy employees with normal uncomplicated pregnancies should be able to perform . . . without undue difficulty or risk to the pregnancy.”",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4606868/
,There may be potential dangers associated with carrying too much weight in the second trimester.,4,TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4606868/,"There is a special concern, however, about potential maternal and fetal health effects associated with excessive manual lifting for women during pregnancy. In 1993, the National Institute for Occupational Safety and Health (NIOSH) published the Revised NIOSH Lifting Equation (RNLE), an assessment tool for estimating recommended weight limits (RWLs) for two-handed manual lifting (Waters, Putz-Anderson, & Garg, 1994; Waters, Putz-Anderson, Garg, & Fine, 1993).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4606868/
Is it okay for my to color my hair after giving birth?,Hair dye chemicals or ingredients can pass through the blood from mother to child during pregnancy.,2,FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2567273/,"Experimental animal studies showed risks of teratogenicity due to some of the chemicals found in hair products, namely phenylenediamine,10 aminophenols,11-12 and ethanolamine,13 when used in very high doses. Human studies, however, show that exposure to these chemicals from hair dyes or hair products results in very limited systemic absorption, unless there are burns or abscesses on the scalp. Therefore, these chemicals are unlikely to reach the placenta in substantial amounts to cause harm to the unborn fetus.14-18",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2567273/
,Hair dye chemicals can pass through breast milk from mother to child.,2,FALSE,https://www.ncbi.nlm.nih.gov/books/NBK582739/,"When used properly, it would be unlikely that large amounts of hair care chemicals would enter the breast milk because so little would get into the blood of the person getting or performing hair treatments. Be sure to talk to your healthcare provider about all your breastfeeding questions.",https://www.ncbi.nlm.nih.gov/books/NBK582739/
,Certain chemicals in hair dye can affect breast milk.,2,FALSE,https://www.ncbi.nlm.nih.gov/books/NBK582739/,"When used properly, it would be unlikely that large amounts of hair care chemicals would enter the breast milk because so little would get into the blood of the person getting or performing hair treatments. Be sure to talk to your healthcare provider about all your breastfeeding questions.",https://www.ncbi.nlm.nih.gov/books/NBK582739/
,Chemicals in hair dye may be harmful to the baby.,4,FALSE,https://americanpregnancy.org/healthy-pregnancy/is-it-safe/hair-treatments-during-pregnancy/,"Although fairly limited, most research indicates the chemicals found in both semi-permanent and permanent dyes are not highly toxic and are safe to use during pregnancy. In addition, only small amounts of hair dye may be absorbed by the skin, leaving little that would be able to reach the fetus. As such, this small amount is not considered harmful to the fetus. The same is considered true while breastfeeding. Although no data is available on women receiving hair treatments while breastfeeding, it is known that little of the chemicals would actually be absorbed into the bloodstream. Therefore, the chance of them entering the milk and posing a risk to an infant would be unlikely.",https://americanpregnancy.org/healthy-pregnancy/is-it-safe/hair-treatments-during-pregnancy/
,There is a potential effect of hair dye on the milk supply.,2,FALSE,https://americanpregnancy.org/healthy-pregnancy/is-it-safe/hair-treatments-during-pregnancy/,"Although fairly limited, most research indicates the chemicals found in both semi-permanent and permanent dyes are not highly toxic and are safe to use during pregnancy. In addition, only small amounts of hair dye may be absorbed by the skin, leaving little that would be able to reach the fetus. As such, this small amount is not considered harmful to the fetus. The same is considered true while breastfeeding. Although no data is available on women receiving hair treatments while breastfeeding, it is known that little of the chemicals would actually be absorbed into the bloodstream. Therefore, the chance of them entering the milk and posing a risk to an infant would be unlikely.",https://americanpregnancy.org/healthy-pregnancy/is-it-safe/hair-treatments-during-pregnancy/
,There may be an age when it is safe to start dyeing hair again.,5 (Very Plausible),TRUE,https://www.acog.org/womens-health/experts-and-stories/ask-acog/is-it-safe-to-dye-my-hair-during-pregnancy,"As such, this small amount is not considered harmful to the fetus. The same is considered true while breastfeeding. Although no data is available on women receiving hair treatments while breastfeeding, it is known that little of the chemicals would actually be absorbed into the bloodstream. Therefore, the chance of them entering the milk and posing a risk to an infant would be unlikely.",https://www.acog.org/womens-health/experts-and-stories/ask-acog/is-it-safe-to-dye-my-hair-during-pregnancy
,Different hair dyes may have different effects on the baby.,2,FALSE,https://www.acog.org/womens-health/experts-and-stories/ask-acog/is-it-safe-to-dye-my-hair-during-pregnancy,"Most experts think that using hair dye during pregnancy is not toxic for your fetus. There are different types of hair coloring, including: permanent color, semipermanent color, temporary color. These all contain chemicals. Studies on animals show that high doses of these chemicals do not cause serious birth defects. Also, only a small amount of chemicals from hair dye is absorbed through the scalp.",https://www.acog.org/womens-health/experts-and-stories/ask-acog/is-it-safe-to-dye-my-hair-during-pregnancy
How do I know if my child has RSV?,RSV may be harmful to my baby.,5 (Very Plausible),TRUE,https://www.cdc.gov/rsv/high-risk/infants-young-children.html,"RSV can be dangerous for infants and young children. Each year in the United States, an estimated 58,000-80,000 children younger than 5 years are hospitalized due to RSV infection.",https://www.cdc.gov/rsv/high-risk/infants-young-children.html
