question,assumption,plausibility,veracity,evidence_source,evidence,evidence_source_link
where is the baby situated in early pregnancy,The baby does not attach to the mother until the end of the first trimester.,2,FALSE,https://my.clevelandclinic.org/health/articles/7247-fetal-development-stages-of-growth,Week 4: The tiny bundle of cells turns into a blastocyst and implants into your uterine lining.,https://my.clevelandclinic.org/health/articles/7247-fetal-development-stages-of-growth
,There is a specific place in the uterus where the embryo implants.,4,TRUE,https://my.clevelandclinic.org/health/articles/7247-fetal-development-stages-of-growth,Week 4: The tiny bundle of cells turns into a blastocyst and implants into your uterine lining.,https://my.clevelandclinic.org/health/articles/7247-fetal-development-stages-of-growth
how old pregnancy can be detected by pregnancy test strip,Pregnancy test strips detect a certain hormone.,5 (Very Plausible),TRUE,"https://www.healthdirect.gov.au/hcg-test#:~:text=is%20being%20tested%3F-,The%20human%20chorionic%20gonadotropin%20(hCG)%20test%20is%20also%20known%20as,when%20a%20female%20is%20pregnant.",The human chorionic gonadotropin (hCG) test is also known as the pregnancy test. This test measures the amount of the hormone hCG in your urine or blood.,"https://www.healthdirect.gov.au/hcg-test#:~:text=is%20being%20tested%3F-,The%20human%20chorionic%20gonadotropin%20(hCG)%20test%20is%20also%20known%20as,when%20a%20female%20is%20pregnant."
,There is a point in pregnancy when the hormone level is high enough for a pregnancy test strip to detect.,5 (Very Plausible),TRUE,"https://www.fda.gov/medical-devices/home-use-tests/pregnancy#:~:text=hCG%20is%20a%20hormone%20produced,12%2D15%20days%20after%20ovulation.","If you have a 28 day menstrual cycle, you can detect hCG in your urine 12-15 days after ovulation.","https://www.fda.gov/medical-devices/home-use-tests/pregnancy#:~:text=hCG%20is%20a%20hormone%20produced,12%2D15%20days%20after%20ovulation."
,Pregnancy test strips may not be accurate during the first trimester.,3,TRUE,https://my.clevelandclinic.org/health/diagnostics/9703-pregnancy-tests,"According to pregnancy kit manufacturers, most at-home pregnancy tests are 98% to 99% accurate when you use them exactly as instructed.",https://my.clevelandclinic.org/health/diagnostics/9703-pregnancy-tests
,"There may be risks associated with drinking alcohol or using drugs while pregnant, even if a pregnancy test strip shows a negative result.",5 (Very Plausible),TRUE,"https://www.yourfertility.org.au/everyone/drugs-chemicals/recreational-drugs#:~:text=For%20both%20men%20and%20women,the%20reproductive%20system%20and%20infertility.","[sources summary: When planning to get pregnant or if you think you may be pregnant, alcohol and illicit drugs should be completely avoided because while most pregnancy tests are 99% accurate, there is still a possibility of a false negative]""Any amount of alcohol can negatively impact a developing fetus. Illicit drug use during pregnancy may cause miscarriage, preterm labor, birth defects, stillbirth, withdrawal symptoms in the baby after birth, a higher risk of sudden infant death syndrome (SIDS), poor fetal growth rate, and cognitive and behavioral problems. For both men and women, taking cocaine, heroin, ecstasy, cannabis and other recreational drugs can reduce the chance of having a baby.""","https://www.yourfertility.org.au/everyone/drugs-chemicals/recreational-drugs#:~:text=For%20both%20men%20and%20women,the%20reproductive%20system%20and%20infertility."
when does the amniotic sac attached to the uterus,The amniotic sac attaches to the uterus at a certain stage of embryo development.,3,TRUE,https://my.clevelandclinic.org/health/articles/7247-fetal-development-stages-of-growth,"Week 4: The tiny bundle of cells turns into a blastocyst and implants into your uterine lining. The beginning of what will become the placenta forms. A water-tight sac forms around the blastocyst. This is the amniotic sac, and it provides cushioning to a fetus during pregnancy.",https://my.clevelandclinic.org/health/articles/7247-fetal-development-stages-of-growth
,There is a specific number of days after fertilization when the embryo implants into the uterine wall.,4,TRUE,https://my.clevelandclinic.org/health/body/22889-blastocyst,"About 10 to 12 days after fertilization, the blastocyst develops into an embryo.",https://my.clevelandclinic.org/health/body/22889-blastocyst
,"After the embryo attaches to the uterine wall, there may be certain events or changes that occur. ",4,TRUE,"https://my.clevelandclinic.org/health/articles/11585-conception#:~:text=The%20fertilized%20egg%20(called%20an,around%2011%20days%20after%20conception.",The fertilized egg (called an embryo) implants (attaches) into the wall of your uterus. This triggers the placenta to form. Your placenta begins producing and releasing human chorionic gonadotropin (hCG) into your blood and pee. HCG can be found in a person's blood around 11 days after conception.,"https://my.clevelandclinic.org/health/articles/11585-conception#:~:text=The%20fertilized%20egg%20(called%20an,around%2011%20days%20after%20conception."
,There may be pills that can prevent pregnancy if taken before the amniotic sac attaches.,4,TRUE,https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-plan-b-morning-after-pill,"The Plan B pill works best when you take it within 3 days after unprotected sex. Like all morning-after pills, take Plan B ASAP after unprotected sex.",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-plan-b-morning-after-pill
