question,metadata,answer,sources
How much iron do I need in pregnancy?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-06-15 10:49:29.235275+00:00', 'id': 'qa_pairs/ji84MU6BfiqlamwdwHG7'}","Pregnant women are especially vulnerable to be iron deficient, or have low iron. Their rapidly expanding blood volume, developing baby, and placenta all require increased iron. The World Health Organization recommends 40-60mg per day, with women who are already anemic or have other risk factors on the higher end. Infants born to anemic mothers have up to have the iron reserves as infants born to mothers with normal levels of red blood cells. Iron supplements often contain vitamin C to help your body absorb it, and likewise eating a diet rich in vitamin C (lots of citrus fruits and fresh raw vegetables) can help you better absorb the iron you may be already eating. ","https://www.ncbi.nlm.nih.gov/books/NBK235217/, https://www.who.int/data/nutrition/nlis/info/antenatal-iron-supplementation"
When is it safe to give my baby real food?,"{'author_id': 'PpUlhH3JiSgVx2YpEjA05SbJNdd2', 'timestamp': '2023-11-03 18:57:16.800252+00:00', 'id': 'qa_pairs/eWNQKPIfQtHP1De90YXf'}","Formula or breastmilk only is recommended up to six months of age, but after consulting with your pediatrician your baby may be ready for you to introduce solid foods at or after six months. Some signs they may be developmentally ready include good head and neck control, showing an interest in food, and not immediately spitting food out. The American Academy of Pediatrics says that you don't have to introduce foods in a certain order, but should avoid artificially sweetened foods, choking hazards, and don't offer honey, cow's milk, or fruit juice before 12 months of age. ","https://kidshealth.org/en/parents/solid-foods.html, https://www.cdc.gov/nutrition/infantandtoddlernutrition/foods-and-drinks/when-to-introduce-solid-foods.html"
Why is my pelvis sore?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-02-22 08:19:32.594077+00:00', 'id': 'qa_pairs/7EfFfdodOJ7WiRjw55Z0'}","Your symphysis pubis, or the joint made of cartilage right in the middle of the front of your pelvis, can become a source of great discomfort during pregnancy. This can also be referred to as symphysis pubis dysfunction. Additional weight gain, gait changes, and the hormones relaxing the ligaments that hold your pelvis in place are all normal parts of pregnancy that can contribute to this pain. It can be normal for the front, back, or both areas of your pelvis to be uncomfortable and for it to feel loose. Using ice, staying active, stretching, taking breaks from sitting, and sleeping with a pillow between your knees are a few things you can do to relief the discomfort.","https://my.clevelandclinic.org/health/diseases/22122-symphysis-pubis-dysfunction, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3364059/"
When can my child stop using a booster seat?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-26 16:25:20.693011+00:00', 'id': 'qa_pairs/t6vpgkJXa0zD1Ym9V7Lp'}","There are several requirements your child must meet before it's  safe for them to ride in the car without a booster seat. They need to meet a height requirement, generally 4 feet 9 inches, so that the shoulder strap fits snugly across their shoulder and chest, not their neck. Additionally, the lap belt must be on their upper thighs, not their stomach. Most children don't safely fit in adult seat belts until 10 to 12 years old. All children younger than 13 should ride only in the backseat of the car. ","https://www.healthychildren.org/English/safety-prevention/on-the-go/Pages/Car-Safety-Seats-Information-for-Families.aspx,  https://www.nhtsa.gov/sites/nhtsa.gov/files/documents/carseat-recommendations-for-children-by-age-size.pdf"
What is the maximum weight I can carry while pregnant?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-11 16:22:05.502957+00:00', 'id': 'qa_pairs/UNZehpyVn2xe4SzvKYjN'}","Moderate exercise in pregnancy with your doctor's approval can promote a healthy pregnancy. Your doctor's specific recommendations for you may have a lot to do with your physical fitness baseline prior to pregnancy. Pregnant women can be more at risk for a musculoskeletal injury due to the normal physiologic changes of pregnancy and a change in weight distribution that may affect balance. It's important to check with your provider to see what may be appropriate for you. Pay attention to your balance, any pain, and shortness of breath to decide when you need to slow down, take a break, or stop an activity.","https://www.cdc.gov/niosh/topics/repro/physicaldemands.html, https://www.acog.org/womens-health/faqs/exercise-during-pregnancy"
When can my baby face front in a car?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-01 09:40:37.091008+00:00', 'id': 'qa_pairs/g5mMdqff6zlNDwa6SzqX'}",The National Highway Traffic Safety Administration recommends to keep your child rear facing as long as possible. Your child is able to stay in their rear facing car seat until they reach the top weight or height limit allowed by the seat manufacturer.  Centers for Disease Control and Prevention suggest keeping your child rear facing from birth until age 2-4. This is the safest positioning offering the best possible protection in case of an accident. ,"https://www.nhtsa.gov/sites/nhtsa.gov/files/documents/carseat-recommendations-for-children-by-age-size.pdf, https://www.cdc.gov/injury/features/child-passenger-safety/index.html"
How long before my breast milk supply comes in?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-17 00:33:52.671714+00:00', 'id': 'qa_pairs/tViZLX59T4HnKfxDWUzx'}","Often times moms think that the yellow, thick liquid before birth and within the first few days is breastmilk. This is actually colostrum or ""liquid gold."" It is a thick, rich milk that's high in nutrients and antibodies. Between 2-5 days after giving birth, many women notice engorgement or swelling of the breasts. They will feel much fuller and the volume will dramatically increase. It is perfectly normal to only be able to pump or hand express very small amounts (sometimes a few drops only) within the first few days. It's important to keep breastfeeding or stimulating the breasts with a pump to ensure your body knows to make more milk in the coming days. ",https://www.hopkinsmedicine.org/health/conditions-and-diseases/breastfeeding-and-delayed-milk-production
What is a good way for my child to express feelings?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-14 12:06:29.987271+00:00', 'id': 'qa_pairs/plG4OjqeMENybBKifBnF'}","Teaching children about different emotions can start by making a face and having them guess what you're feeling. Sharing your own emotions, like, ""Today I lost my keys and that made me frustrated,"" can help set the example for them to express what they are feeling. You can also point out emotions on others' faces, for example, ""Look at your friend Sally's face! She is so happy you came to play with her. Talking about feelings provides emotional relief, and helping kids use specific words to describe their feelings has been shown by research to be helpful.","https://www.ecmhc.org/ideas/emotions.html, https://www.unicef.org/parenting/mental-health/3-ways-help-teens-express-emotions"
What is the schedule for my baby to see a doctor?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-23 09:06:40.727137+00:00', 'id': 'qa_pairs/aTwiTmHmKbhgaLbz8UrG'}","The first year of routine doctor appointments are often called ""Well Baby Appointments"". These appointments are when baby has been discharged from the hospital at 2-3 days, 1 month, 4 months, 6 months, and 9 months. Your provider will go over developmental milestones, recommend vitamins and supplements, monitor your baby's growth charts, and give advice on recommended vaccinations. It's important to keep your child's medical documents organized, keep a list of questions to ask at their appointments, know what vaccines they have received, and ask for advice on what to do if your baby is sick. ",https://health.gov/myhealthfinder/doctor-visits/regular-checkups/make-most-your-babys-visit-doctor-ages-0-11-months
What do Braxton hicks contractions feel like?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-02-10 12:40:38.202002+00:00', 'id': 'qa_pairs/JUP9QaddrZVmwQ5f7E07'}","When a woman reaches the second or third trimester, she may experience Braxton Hicks contractions. These contractions are thought to be the body's way of preparing the uterine muscles for true labor. Real labor contractions get progressively stronger and aren't affected by changes in position or activity. Braxton Hicks contractions typically are mild and may get weaker over time and often if the woman changes position they will go away. If your provider is unsure what type of contractions you are having, they can monitor you for cervical change. They may check your cervix a few hours apart to see if there is any change. If there is not, they may be Braxton Hicks contractions.",https://www.ncbi.nlm.nih.gov/books/NBK470546/
