question,metadata,answer,sources
Is breast pain normal when breastfeeding?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-04-15 04:18:43.791893+00:00', 'id': 'qa_pairs/CLeWzbFzItgwj6huOamP'}","While discomfort in the early weeks of nursing can be common, it does not mean that it is normal, and pain is never normal.  Pain is the body's way of telling us that something is not right.  If nipple or breast pain is not relieved by adjusting the latch and draining the breast fully, it is important to see a Board Certified Lactation Consultant (IBCLC) as persistent pain can be very emotionally draining and often leads to weaning sooner than intended.",https://abm.memberclicks.net/assets/DOCUMENTS/PROTOCOLS/26-persistent-pain-protocol-english.pdf
What do I need to prepare for baby?,"{'author_id': 'foSUQ6CvoqdB3HdToWBymV1YOhh2', 'timestamp': '2023-04-03 10:55:31.796737+00:00', 'id': 'qa_pairs/2PM55fscZK6pjaPK70au'}","Connecting with professionals that are skilled in caring for babies is an essential part of preparing for baby.   Taking prenatal classes can be a wonderful way to learn all you can about birth, infant feeding and newborn basics.  It is also recommended to take a CPR class as well.  During these classes, you'll not only be able to ask questions, but also gather lists of important items to purchase.  A proper car seat, diapers, wipes, clothes, and a safe sleeping surface for baby (cot or crib) are the bare essentials, with feeding choices dictating other purchases.  If you are nursing, a breast pump and pads are important.  For formula feeding families, bottles, formula, and access to clean water are essential. ",https://www.healthychildren.org/English/ages-stages/prenatal/delivery-beyond/Pages/Bringing-Baby-Home.aspx
How does aspirin reduce preeclampsia risk?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-09 07:59:20.391173+00:00', 'id': 'qa_pairs/Ukd8by9pc2igc2NbFSNT'}","Pre-eclampsia is a pregnancy complication characterized by persistent high blood pressure.  For people at high risk of pre-eclampsia, low dose aspirin is recommended by The American College of Obstetricians and Gynecologists from 12 weeks until delivery.  Aspirin helps lower the risk by relaxing the blood vessels, keeping blood pressure in check and allowing for proper blood flow not only for the parent, but for the baby as well. ",https://www.acog.org/clinical/clinical-guidance/committee-opinion/articles/2018/07/low-dose-aspirin-use-during-pregnancy
How often should I shower my baby?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-14 22:43:50.450423+00:00', 'id': 'qa_pairs/S8nGG1vOc2hUxY3eEYaZ'}","The World Health Organization recommends waiting 24 hours for babies first bath in most cases.  From then on, two to three times weekly is sufficient for the first year, as long as the diaper area is cleaned frequently and the skin is kept dry.  Bathing more often than this can dry baby's skin out.  ",https://www.healthychildren.org/English/ages-stages/baby/bathing-skin-care/Pages/Bathing-Your-Newborn.aspx
Is almond milk better than cows milk?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-09-21 13:37:48.217711+00:00', 'id': 'qa_pairs/PMuLF8L1You9PWFl9Cbq'}","Almond milk and other milk-alternatives are popular choices for adults who choose not to eat dairy.  They are not, however, nutritionally balanced as a replacement for cow's milk for toddlers and children and are never an appropriate substitution for breast milk or infant formula.  For toddlers over the age of 1 who are unable to eat dairy, a well balanced diet supplemented with a milk alternative closer to cow's milk (such as pea protein or oat) can give adequate Vitamin D and Calcium.  Always discuss nutrition with your primary care provider.",https://www.healthychildren.org/English/healthy-living/nutrition/Pages/milk-allergy-foods-and-ingredients-to-avoid.aspx
How can I clear my babies stuffy nose?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-31 09:37:54.177453+00:00', 'id': 'qa_pairs/FkS5yVJBiApmVlLB8aJK'}","If your baby is ill or stuffy to the point where breathing and feeding is difficult, you may use saline and a bulb syringe to gently clear the nasal passages.  After placing 2 drops of saline into the nostril, squeeze the bulb syringe to expel air.  Insert the tip into the nostril (1/4 inch in), block the other nostril, and release the bulb.  Mucus will be suctioned into the bulb.  Empty the bulb by squeezing it rapidly into a tissue.  Repeat on the other side.  You can do this as often as you need, but try not to be too aggressive as the nasal passages are small and can become easily inflamed making stuffiness worse.  Remember to always clean your bulb syringe with soap and hot water.",https://www.mayoclinic.org/diseases-conditions/common-cold-in-babies/diagnosis-treatment/drc-20351657?p=1
How can I help my baby to learn two languages at the same time?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-26 19:12:01.262083+00:00', 'id': 'qa_pairs/BgluSPUtdB9gXtXIdF1n'}","The best way to help a baby learn two languages at the same time is through exposure and need. Exposing them to both languages in a natural setting with multiple providers will help them learn. If using both languages helps the child get what they need and helps them communicate with people and be understood, this will help them be motivated to use both.   Natural and varied settings can help as well. ",https://www.linguisticsociety.org/resource/faq-raising-bilingual-children
Is it normal that I started producing milk before baby is born?,"{'author_id': 'V88m8gxhi4aKTeNfKnw8fd1w0n53', 'timestamp': '2023-04-05 09:58:48.337344+00:00', 'id': 'qa_pairs/AYktGpBwdYeE7AAOdLJ6'}","It is normal to start producing baby's first milk, called colostrum, before baby is born.  Starting at roughly 16 weeks, your body is already busy preparing to feed baby after it's born.  It is common to see thick, yellow and sometimes flaky discharge from the nipples occasionally from that point onwards.  If the discharge is foul smelling, comes with pain of any kind, or is any other color or consistency, be sure to talk to your midwife or OB.",https://americanpregnancy.org/healthy-pregnancy/breastfeeding/colostrum-is-superfood-for-your-newborn/
How long should a baby nurse per session?,"{'author_id': '84ka1SZgxahTsy8lyty9TUPkJ5k1', 'timestamp': '2023-02-16 15:14:17.606930+00:00', 'id': 'qa_pairs/lFWQVNJRJJM5eAR54ufI'}","How long baby will nurse per session is based on their age, abilities and your milk supply.  In general, newborns up to one week will generally nurse for short periods of 10-15 minutes as often as every 1-2 hours.  After the first week, when mature milk is established, infants will nurse on average between 20-30 minutes per session.  As they get older, often at the 3 month mark, they might become more efficient, nursing for 10-15 minutes.  The most important thing to note is baby's temperament and diapers.  If your baby is nursing for longer or shorter than these time periods, but is gaining weight well, making appropriate diapers and is generally happy, then this is not a sign that anything is wrong. ",https://kidshealth.org/en/parents/breastfeed-often.html
How can I deal with post partum depression?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-31 13:53:52.478363+00:00', 'id': 'qa_pairs/3nx8eQkMahO7faGe3EPG'}","Postpartum mood swings occur in up to 80% of new parents in the first 2 weeks after delivery.  Postpartum mood disorders, including depression, last longer than those 2 weeks and have more severe symptoms.  If you are experiencing any of the following symptoms for more than 2 weeks, it is important that you speak to someone as soon as you can.  Therapy and medication (many are safe for nursing parents) can be incredibly beneficial.  Symptoms include: feeling hopeless, lack of interest in baby, crying often, being unable to sleep even when the baby is sleeping, appetite changes, thoughts of wanting to harm yourself or baby.  https://www.postpartum.net/get-help/",https://www.postpartum.net/learn-more/depression/
How much sleep does a 3 month old need?,"{'author_id': '84ka1SZgxahTsy8lyty9TUPkJ5k1', 'timestamp': '2023-03-16 22:16:21.040780+00:00', 'id': 'qa_pairs/3DSsMG1KztTFsuVQci1Q'}","The average 3 month old needs between 14-17 hours of sleep in a 24 hour period.  This is usually spread over the course of 3-4 naps and some longer stretches of sleep at night.  Variations are normal for infants that were premature or are unwell in any way.  If you are concerned with your infants sleep, contact your pediatrician. ",https://kidshealth.org/en/parents/sleep13m.html
When can I go back to the gym after birth?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-18 09:25:18.607506+00:00', 'id': 'qa_pairs/B0GtnoLESCtcxoLXQu3g'}","It is fine to start moderate exercise such as walking as soon as you feel up for it.  For higher intensity workouts such as weight lifting, running, it is dependent on the parent and their delivery.  If you were exercised vigorously throughout your pregnancy and had an uncomplicated vaginal delivery, you might be able to get back to your workouts before your 6 week check up.  If you had a cesarean, it is important to wait the full 6 weeks for higher intensity workouts. ",https://www.acog.org/womens-health/faqs/exercise-after-pregnancy
Should you lay babies on their stomach?,"{'author_id': 'x97pqM9UltaNCFAPrF5yg1W5weA2', 'timestamp': '2023-10-30 21:09:02.812544+00:00', 'id': 'qa_pairs/P6qPhCHs8i3OLssh8vjP'}","It is important for babies to sleep on their backs until they can safely roll over in both directions on their own (back to front and front to back).  Outside of sleeping, supervised tummy time is important for infants to work on their strength and integrate their reflexes to move onto the next stages of development, crawling and walking.  You can start tummy time in short 5 minute increments 2-3 times a day as soon as you'd like.  Remember: ""Back to sleep, tummy to play!""","https://www.aap.org/en/patient-care/safe-sleep/, https://www.healthychildren.org/English/ages-stages/baby/sleep/Pages/back-to-sleep-tummy-to-play.aspx"
What do Braxton Hicks contractions feel like?,"{'author_id': 'X2Mbenq10lRmHYsLQb53ZTsFE6f1', 'timestamp': '2023-02-06 13:55:59.539662+00:00', 'id': 'qa_pairs/QVTb6CKAVGUCKizCA5RV'}","Braxton Hicks can feel like productive contractions and are often mistaken for the start of labor.  They are often felt as a tightening in your abdomen that comes and goes.  Unlike productive contractions which get labor going, these practice contractions are often irregular and stop when you change positions or lay down to rest.  ",https://my.clevelandclinic.org/health/symptoms/22965-braxton-hicks
