question,metadata,answer,sources
What is the maximum weight I can carry in the second trimester?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-11 16:23:03.429919+00:00', 'id': 'qa_pairs/4bI6o8wDYkLLhSQu1m67'}","If you start at a health weight, you should gain 5-15 pounds in your second trimester. If you are underweight, you should gain more to get to a health weight, and if you are overweight, your total gestational weight gain should be no more than 15-25 pounds. Any larger weight gain than recommended can cause adverse birth outcomes such as gestational hypertension, gestational diabtetes, and birth complications. ","https://www.cdc.gov/reproductivehealth/pdfs/maternal-infant-health/pregnancy-weight-gain/tracker/single/normal_weight_tracker_508tagged.pdf, https://www.cdc.gov/reproductivehealth/maternalinfanthealth/pregnancy-weight-gain.htm, https://www.ncbi.nlm.nih.gov/books/NBK32818/#:~:text=Women%20whose%20weight%20gain%20during,postpartum%20weight%20retention%20and%20subsequent"
Is it okay for my to color my hair after giving birth?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-18 09:39:12.822353+00:00', 'id': 'qa_pairs/li44oQBFyvzzymjaWanj'}","Coloring your hair is safe to do after birth and while breastfeeding. Very little dye is absorbed into the skin. If you are concerned, you can dye the ends of your hair or add highlights to keep dye off of your scalp. ",https://americanpregnancy.org/healthy-pregnancy/is-it-safe/hair-treatments-during-pregnancy/
How do I know if my child has RSV?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 09:04:33.313753+00:00', 'id': 'qa_pairs/DSpGiiwo2K2dTYsHhWyh'}","Initial signs of RSV are similar to mild cold symptoms, including congestion, runny nose, fever, cough and sore throat. Very young infants may be irritable, fatigued and have breathing difficulties. RSV must be diagnosed by a doctor. The most common testing method is a mouth swab or a blood test to check white blood cell counts and look for viruses.","https://www.lung.org/lung-health-diseases/lung-disease-lookup/rsv/symptoms-diagnosis#:~:text=The%20most%20common%20is%20a,can%20check%20for%20lung%20complications."
What happens if labor slows down?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-03-18 21:46:17.573685+00:00', 'id': 'qa_pairs/mKFUrsAuHlxgvmQHABCE'}","If your baby isn't born after 20 or more hours of contractions, you're most likely in prolonged labor. Also called failure to progress, providers can safely manage this condition with medications. Prolonged labor increases your chances of needing a different type of delivery. For example, your healthcare provider may need to use medical instruments, like a vacuum or forceps, to help deliver your baby. Prolonged labor also increases your chances of having a C-section.If you're in prolonged labor during the first stage, the goal is to encourage stronger contractions to help dilate your cervix. Your healthcare provider may recommend: Nipple massage, if appropriate, to help your body naturally release more oxytocin, which encourages stronger contractions, Breaking your water or artificial rupture of membranes (AROM), also called amniotomy., Medication, such as oxytocin (Pitocin®) or other medications to help ripen your cervix, Taking a warm bath to relax. During the second stage of labor, your provider may recommend that you: Change positions often or take a walk, Rest and relax, Start medication such as oxytocin.",https://my.clevelandclinic.org/health/diseases/24752-prolonged-labor
Should we wake the baby if he doesn't eat in the night?,"{'author_id': 'V88m8gxhi4aKTeNfKnw8fd1w0n53', 'timestamp': '2023-07-07 17:56:14.848179+00:00', 'id': 'qa_pairs/63H0QBAYRjUeRpLbRH4B'}","You may need to wake your baby to feed them in their first six months. Babies at this age need to feed every 3-4 hours. After six months, you can feed your baby when they show signs of hunger, about 5-6 times a day. ","https://www.cdc.gov/nutrition/infantandtoddlernutrition/formula-feeding/how-much-how-often.html#:~:text=Infant%20formula%20is%20fortified%20with,wake%20your%20baby%20to%20feed."
How long should I breastfeed my baby after birth?,"{'author_id': 'b2FoShs2zQTy0QO11o0XmKAy1Nv1', 'timestamp': '2023-11-11 23:04:57.223135+00:00', 'id': 'qa_pairs/Lv5U7kQFlOBVmK0Tny1K'}","You should primarily breastfeed for six months after birth. After then, you should introduce other foods and concurrently breastfeed for 1-2 years after birth.","https://www.cdc.gov/nutrition/infantandtoddlernutrition/breastfeeding/recommendations-benefits.html#:~:text=The%20U.S.%20Dietary%20Guidelines%20for,12%20months%20old%20or%20older."
At what time does first tooth appear?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-22 11:44:10.549747+00:00', 'id': 'qa_pairs/zR5MujqihMjxJHHsk9V9'}","The average age of first tooth appearance is about 30 weeks after birth, but teeth can begin to appear during a couple months before or after this time. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4538790/
How can I prevent my child from overeating?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-31 22:41:50.839233+00:00', 'id': 'qa_pairs/Pdbzw5iTkFXgfsqDp1HQ'}","You should pay attention to signs that your child is full. Your child may push food away, turn away their head, close their mouth, or make hand gestures or sounds. You should ask your child's pediatrician about how many calories they should be consuming a day to know how big of a portion to serve them. ","https://www.cdc.gov/nutrition/infantandtoddlernutrition/mealtime/signs-your-child-is-hungry-or-full.html#:~:text=is%20still%20hungry.-,Your%20child%20may%20be%20full%20if%20he%20or%20she%3A,her%20head%20away%20from%20food."
How many dirty diapers should a baby have at 4 months?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-08 12:33:13.484544+00:00', 'id': 'qa_pairs/a6ixKMrcOIJpnxue3uAN'}",Your baby may need their diaper changed 6-12 times a day. The number of diaper changes a day needed should decrease as they grow older. ,https://www.nhs.uk/conditions/baby/caring-for-a-newborn/how-to-change-your-babys-nappy/
How can I get my baby to take a bottle?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-09-21 13:33:24.069213+00:00', 'id': 'qa_pairs/kPtj7yA0CNHl1o9Lelmw'}","Pick a time when they are not too hungry or full and calm. Offer small amounts of breast milk or formula in the bottle. If you're breastfeeding, let someone else try to bottle feed your baby. Place the bottle at an angle in the baby's mouth and let them take breaks. ",https://www.cdc.gov/nutrition/infantandtoddlernutrition/bottle-feeding/index.html
